ability_name,ability_type,ability_attribute_tags,panel_cast_time,direct_property,periodic_property,school,database_coefficient,specilty_tags,note
Flame Shock (direct),spell,dmg-direct-fixed,0,500-500,,fire,0.2143,,
Flame Shock (dot),spell,dmg-dot-fixed,0,,838-18-6,fire,0.6,,
Lava Burst,spell,dmg-direct-fixed,2,1192-1518,,fire,0.5714,,
Chain Lightning,spell,dmg-direct-fixed,2,973-1111,,nature,0.5714,,
Lightning Bolt,spell,dmg-direct-fixed,2.5,719-819,,nature,0.7143,,
Frost Shock,spell,dmg-direct-effect,0,812-858,,frost,0.3858,,
Earth Shock,spell,dmg-direct-effect,0,854-900,,nature,0.3858,,
Lesser Healing Wave,spell,heal-direct,1.5,1624-1852,,nature,0.8057,,
Healing Wave,spell,heal-direct,3,3034-3466,,nature,1.6114,,
Chain Heal,spell,heal-direct-fixed,2.5,1055-1205,,nature,1.34,,
Earth Shield,spell,heal-hot-fixed,0,,2022-12-6,nature,0.8058,,
Riptide (direct),spell,heal-direct-fixed,0,1604-1736,,nature,0.402,,
Riptide (hot),spell,heal-hot-fixed,0,,1670-15-5,nature,0.94,,